gene_id	a161	a165	a170	a173
Gnai3	2698	2852	3241	3482
Cdc45	1381	2004	1445	1617
Scml2	18	7	16	14
Narf	692	866	934	1112
Cav2	51	63	90	143
Klf6	8999	10276	9264	10664
Scmh1	358	340	389	332
Cox5a	8757	8469	9407	11687
Tbx4	4	0	2	2
Ngfr	1	1	3	4
Wnt3	2	8	4	0
Fer	29	27	25	69
Xpo6	523	581	638	600
Tfe3	814	921	1175	1223
Axin2	2	0	9	18
Brat1	342	364	557	540
Gna12	306	334	528	601
Slc22a18	35	32	57	48
Itgb2l	0	1	4	6
Pih1d2	17	11	19	26
Dlat	619	655	878	1036
Sdhd	3718	3767	4372	5068
Fgf23	13	2	2	1
Fgf6	6	13	2	2
Ccnd2	3280	2680	1403	1509
Gpr107	874	979	1063	1163
Nalcn	4	7	0	8
Slfn4	7	11	5	5
Ins2	2	7	0	3
Scnn1g	36	39	3	13
Drp2	9	11	13	7
Tspan32	115	61	94	138
Lhx2	2	6	8	6
Clec2g	18	15	9	8
Gmpr	4	10	26	49
Mid2	28	46	31	46
Trim25	2155	1985	3009	3594
Dgke	199	177	198	225
Scpep1	3008	3294	4679	5961
Mnt	281	213	353	427
Itgb2	9773	12590	10183	12461
Hddc2	611	598	654	894
Pemt	20	9	22	17
Cdh4	11	11	6	7
Ckmt1	0	5	3	2
Clec10a	268	181	670	1166
Alox12	21	11	12	16
Comt	611	604	834	1023
Rtca	745	811	909	980
Dbt	242	258	296	340
Dazap2	22393	23386	29498	33798
Mcts1	4267	3964	3693	4872
Rem1	465	401	897	956
Rnf17	31	28	5	30
Trappc10	417	374	343	375
Ccm2	1336	1463	1710	2133
Tbrg4	102	99	106	156
Mx1	565	435	422	448
Fap	24	33	67	75
Gcg	59	72	52	54
Ndufa9	3146	3348	3886	4616
Egfl6	9	12	4	17
Lck	29	15	37	21
Cttnbp2	0	0	1	7
Galnt1	2600	3220	3067	3268
Mkrn2	312	272	415	445
Pparg	97	70	208	210
Raf1	1106	1298	1337	1522
Septin1	759	820	599	759
Gm4532	759	820	599	759
Pdgfb	200	214	140	206
Acvrl1	143	157	450	450
Tamalin	3242	4326	6458	7878
Acvr1b	84	68	90	106
Tom1l2	188	172	179	212
Gpa33	17	5	4	1
Zfp385a	624	731	1045	1302
Itga5	58	54	155	144
Gabra2	45	24	29	28
Wdr77	1121	1411	1390	1823
Adora3	49	48	36	41
Tmigd3	49	48	36	41
Atp5pb	13550	14113	13910	17119
Sox9	67	85	39	55
Hnrnpd	3191	3910	4114	4747
Dynlt1c	1474	1403	1479	1704
C1d	3345	3501	4027	4669
Gm2a	73235	81794	108798	121450
Krit1	1195	1412	1225	1349
Clcn4	1415	1458	1700	2037
Vmn2r88	46	18	22	25
Sema4f	65	49	31	33
Hk2	921	994	795	840
Myo18a	315	271	268	379
Sez6	10	24	7	12
Haao	2446	2541	2218	2485
Cd52	76512	70642	52707	64803
Abhd15	381	429	492	531
Loxl3	221	199	284	264
Btn1a1	3	0	0	1
Kat2b	320	357	347	416
Rab5b	819	843	909	935
Cryba1	1	1	4	8
Dnmt3l	3	6	1	1
Aire	106	56	55	65
Icosl	3593	3333	3737	3624
Spg7	480	535	561	647
Sult5a1	23	35	18	27
Rpl13	41001	42117	43265	55287
Chmp1a	1760	2218	2467	2901
Rpa1	1243	1600	1522	1801
Serpinf1	45	28	62	63
Tubgcp3	402	369	387	476
Oprm1	10	10	3	5
Polr3d	263	253	334	378
Tcf7	978	842	1103	1235
Ddx3x	4089	4302	4264	5400
Il12rb1	5	3	8	2
Slc5a5	97	76	39	31
Usp32	319	219	245	228
Txnrd3	29	22	51	49
Fasl	120	332	195	153
Zfp512b	162	96	149	155
Dnajc5	1473	1596	1617	1828
Tpd52l2	1833	1761	2026	2386
Fmr1	869	776	803	886
Bcl11a	3336	3228	3220	3710
Pxmp4	1061	1082	1025	1202
Dlg3	22	33	32	32
Gnb1l	113	117	99	112
Mmp11	0	3	12	3
Smarcb1	1510	1654	1709	2196
Vpreb3	18	11	32	16
Hip1r	255	235	241	270
Nsun5	324	320	295	383
Top1mt	91	71	93	123
Hoxa4	5	4	1	1
Mmp14	281	278	484	541
Slc7a7	729	798	1432	1577
Oxa1l	1004	1136	1180	1414
Heatr6	895	795	860	851
Ccl3	6858	10699	3187	3428
Wfdc18	290	162	78	108
Icam4	12	7	28	13
Ilf2	1508	1695	1785	2161
Chtop	1568	1828	1798	2203
Snapin	1509	1688	2202	2397
S100a4	45445	41295	51770	59082
S100a3	45	80	174	146
S100a5	39	76	66	67
S100a6	15510	15195	19874	24385
Scn4a	4	0	2	5
Icam2	352	450	240	438
Mapk7	671	731	740	813
Epn2	4	9	4	8
B9d1	41	38	21	35
Sec24b	892	812	989	1242
N4bp3	232	213	187	209
Rmnd5b	1253	1366	1498	1755
Nhp2	2511	2698	2953	3640
Vps9d1	350	355	418	541
Zfp276	195	182	224	280
C1ql4	7	17	18	16
Mfsd10	897	1065	1218	1469
Luzp1	387	322	377	446
Slc13a2	1	1	1	9
Kctd10	887	1007	1299	1565
Poldip2	538	529	773	852
Ift20	1057	1006	1140	1362
Pcbp3	88	107	152	163
Lgals9	1252	1344	856	927
Araf	2336	2592	2811	3477
Cfp	10793	15171	14118	18685
Timp1	2	0	3	5
Uxt	1162	1068	1214	1441
Cnnm3	149	117	137	141
Lman2l	606	706	916	1205
Mcm3ap	204	205	191	232
Pcnt	375	436	363	486
Ftcd	0	2	0	0
Mxd1	3761	3260	4303	4313
Gmcl1	638	708	809	881
Snrnp27	1575	1501	1861	2321
Oas1c	110	95	53	46
Ocrl	65	141	106	157
Calm1	78105	73967	99974	123952
Agpat3	862	780	762	940
Slc26a3	44	32	21	43
Sema6b	11	5	9	15
Uhrf1	783	1064	878	865
Dpp9	445	483	483	615
Ramp2	21	16	3	6
Lsr	278	225	262	337
Gramd1a	724	897	1062	1218
Hpn	6	2	29	45
Gabrg1	0	6	3	2
Ckb	7329	8416	7114	8866
Sp1	405	365	365	552
Itgb7	3027	3669	2636	3110
Myg1	833	879	1029	1236
Rarg	87	81	139	186
Pfdn5	6472	5856	5619	7338
Efnb2	62	47	52	129
Rrp15	494	562	596	827
Rnd2	3	5	27	25
Srr	91	125	111	130
Sync	2	3	2	0
Fndc5	559	525	214	300
Acp5	7646	7554	7501	8176
Cnn1	3	1	1	2
Fbxo9	459	540	593	770
Vps50	657	824	806	917
Hars	1057	1111	1296	1632
Zmat2	2726	2489	3071	3561
Ube2c	818	1036	795	974
Smg5	424	506	439	586
Cct3	3709	4202	4417	5679
Glmp	1677	1842	2432	2687
Mef2d	900	900	1056	1217
Tmem79	9	0	10	8
Snd1	1148	1366	1581	1819
Col18a1	4	7	4	5
Slc19a1	81	82	83	105
Kpnb1	583	553	491	670
Npepps	415	439	510	653
Tbx21	515	707	725	954
Mrpl10	862	909	976	1272
Cyp51	944	1049	757	1005
Tcf25	2860	2725	3390	4202
Tubb6	588	619	1311	1755
Def8	221	205	242	253
Pax9	15	3	1	3
