"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Hdac1",1118.98597217807,-3.43782045901962,0.157353130107851,-21.8478047221769,8.15603650477061e-106,9.90795314599534e-102,"Yes","Down"
"Gsr",3701.73522773731,2.15647314074517,0.101268637002933,21.2945804798648,1.2744225764449e-100,7.7408427293263e-97,"Yes","Up"
"Hspa1a",9220.61021196584,-2.46437979237275,0.116089738406716,-21.2282310753333,5.23979200364254e-100,2.12176644200832e-96,"Yes","Down"
"Csf1r",6271.95889150186,1.67782502099001,0.0865889616975854,19.3768927135293,1.20932049192054e-83,3.67270633396267e-80,"Yes","Up"
"Clec4a3",12275.195603215,1.6029788558415,0.0911937169246246,17.5777335314277,3.6487270042468e-69,8.86494712951803e-66,"Yes","Up"
"Pla2g7",3851.65962909883,1.59917723294306,0.0951971229928931,16.7985878424335,2.49923606033523e-63,5.06011994349207e-60,"Yes","Up"
"Cdkn1a",6006.15225955966,1.3685643581251,0.095826314062053,14.2817176213089,2.84501838879891e-46,4.93732619816131e-43,"Yes","Up"
"Dtx1",2774.14866332481,-1.40638727310489,0.100146852000111,-14.0432499376349,8.47358469459273e-45,1.28671383587391e-41,"Yes","Down"
"Osm",678.842918537211,2.0834583194795,0.150563293530806,13.8377573352778,1.5083959842064e-43,2.03599937957103e-40,"Yes","Up"
"Vcam1",1782.21098283007,1.67588886262477,0.12381657873851,13.5352541614327,9.6846908597211e-42,1.06954204148993e-38,"Yes","Up"
"Trf",4752.83415846449,1.28181643072583,0.0946998049886265,13.5355762441093,9.64233511849165e-42,1.06954204148993e-38,"Yes","Up"
"Rasgrp3",1610.31205010495,-1.50788016739553,0.113828407242658,-13.2469583289613,4.69863628390121e-40,4.75658613140266e-37,"Yes","Down"
"Adgre4",2678.88199273394,1.44713936628478,0.111784616592115,12.9457827955448,2.48220101292584e-38,2.31952137730947e-35,"Yes","Up"
"Ccl5",14375.2911263788,-1.46672943889698,0.114654239349428,-12.7926315434955,1.80264844269414e-37,1.56418380584632e-34,"Yes","Down"
"S100a10",1629.47164769758,-1.52307421897926,0.121171361204602,-12.5695890830797,3.1033265939337e-36,2.5132807642071e-33,"Yes","Down"
"Spic",1769.70387546016,1.42814229203745,0.115851093520706,12.3273958720312,6.44975882902347e-35,4.89697939093607e-32,"Yes","Up"
"Vegfa",1508.33757594218,1.80699921447457,0.146672849650409,12.3199298219235,7.07558359119584e-35,5.05612879210865e-32,"Yes","Up"
"Cebpb",1683.03283193943,1.32713748343193,0.109089869893476,12.165542820134,4.74282013367775e-34,3.20087661021763e-31,"Yes","Up"
"Clec7a",23468.2614230021,1.2894405024549,0.106326958079246,12.127126795952,7.58647528281155e-34,4.85055272292604e-31,"Yes","Up"
"Il1rn",3028.90498915325,1.168226432545,0.0978242085675909,11.9420995032924,7.13979048794929e-33,4.3367087423804e-30,"Yes","Up"
"Thbs1",539.968507298875,2.22167493796484,0.193240337694756,11.4969522640465,1.36655961335725e-30,7.90522199193519e-28,"Yes","Up"
"Gpr83",189.611911045755,3.54330756419899,0.30892206035876,11.4699078469309,1.8685816559674e-30,1.03179681621327e-27,"Yes","Up"
"Nfil3",3187.15654923842,1.27373148737817,0.111616937640884,11.4116326276239,3.65798228034926e-30,1.93205081485577e-27,"Yes","Up"
"Gm9733",10887.6756438796,1.09700154421028,0.0964758177027638,11.3707410865391,5.84888670562796e-30,2.96051148749869e-27,"Yes","Up"
"Rap2a",1852.72040951784,1.21504757661022,0.107511901459003,11.3015169494844,1.28970689262165e-29,6.26694373262712e-27,"Yes","Up"
"Serpinb6b",569.364420214369,-2.05841620831542,0.183214504203959,-11.2350068421654,2.74472591441539e-29,1.28242040031993e-26,"Yes","Down"
"Hspa1b",13272.7986738549,-2.55048801395331,0.227279396192572,-11.2218179768143,3.18651519262536e-29,1.43369579851899e-26,"Yes","Down"
"Hoxa7",196.913786829512,-3.27221684398367,0.29340353593828,-11.1526155726767,6.95319276320662e-29,3.01669234597979e-26,"Yes","Down"
"Slc40a1",483.97357908851,2.36524836463575,0.215391492399825,10.9811596469428,4.70840423531009e-28,1.97233429829472e-25,"Yes","Up"
"Unc119",913.673841321071,-1.48523321499641,0.135499163315077,-10.9611984211503,5.871661283009e-28,2.37763137553311e-25,"Yes","Down"
"Lamp1",11255.8133904316,0.875063231458574,0.0804475619792138,10.8774363067047,1.47657478691843e-27,5.78626790693066e-25,"Yes","Up"
"Rgs1",39759.9219272762,-1.22541857403471,0.11469349218705,-10.684290369642,1.20567573765309e-26,4.57704651906556e-24,"Yes","Down"
"Hpgds",968.755000398346,-1.42708191534556,0.134062291626119,-10.6449166132823,1.8414907872648e-26,6.77891820717963e-24,"Yes","Down"
"Mgl2",736.128996310286,1.99313765691938,0.188332808792426,10.5830612823077,3.57096490092383e-26,1.2758847534242e-23,"Yes","Up"
"Aldh2",1581.5094964981,1.22803332082485,0.116753844608763,10.5181403228299,7.12662937747903e-26,2.47355124793187e-23,"Yes","Up"
"Il13ra1",2071.53825677185,1.12844273811622,0.107532421267031,10.4939768380553,9.20697570827629e-26,3.10684280289279e-23,"Yes","Up"
"Trib1",811.151307860356,1.45109988412944,0.138927603077759,10.4450077017253,1.54442853018588e-25,4.93729415386791e-23,"Yes","Up"
"Pim3",2759.29932333649,1.21920337983847,0.116699585272402,10.4473668607526,1.50649816818072e-25,4.93729415386791e-23,"Yes","Up"
