gene_id	a160	a163	a169	a172
Gnai3	3879	3166	3692	5572
Cdc45	4535	2589	3627	2779
Scml2	7	7	7	8
Narf	688	852	682	986
Cav2	38	20	41	135
Klf6	10499	9536	9622	13908
Scmh1	391	348	417	671
Cox5a	9345	7192	10965	8972
Tbx2	1	3	2	1
Tbx4	2	8	1	5
Zfy2	0	1	0	10
Ngfr	8	15	10	22
Wnt3	0	3	1	5
Fer	14	12	23	5
Xpo6	662	658	724	1221
Tfe3	808	700	814	1451
Axin2	6	9	7	18
Brat1	382	308	344	785
Gna12	502	456	442	796
Slc22a18	311	281	486	472
Itgb2l	29	6	23	55
Pih1d2	15	31	35	20
Dlat	754	761	1065	1691
Sdhd	5936	5544	6144	7064
Fgf23	4	6	6	1
Ccnd2	787	461	637	933
Gpr107	964	859	934	1543
Nalcn	11	10	14	16
Slfn4	8	12	20	3
Drp2	10	12	8	9
Tspan32	155	92	85	224
Lhx2	5	7	1	0
Clec2g	5	11	7	1
Gmpr	22	20	36	67
Glra1	0	5	3	0
Mid2	12	2	2	0
Trim25	1922	2218	3297	4305
Dgke	222	184	350	458
Scpep1	5219	3338	5522	8536
Mnt	112	149	165	375
Itgb2	8033	8375	8143	13039
Hddc2	843	723	1129	1211
Pemt	100	110	258	428
Cdh1	17	4	3	16
Cdh4	0	6	12	2
Ckmt1	8	5	2	1
Bcl6b	1	2	0	6
Clec10a	56	27	51	83
Alox12	21	17	52	16
Comt	658	537	757	957
Rtca	1736	1476	1669	2630
Dbt	395	350	516	601
Dazap2	23466	19732	26952	36925
Mcts1	4362	3789	4747	3912
Rem1	262	238	258	297
Rnf17	39	26	18	47
Trappc10	331	237	340	403
Ccm2	2023	1715	1961	3070
Tbrg4	145	137	151	264
Tmprss2	13	6	17	30
Mx1	1268	761	952	1172
Fap	56	46	78	4
Gcg	41	45	57	29
Ndufa9	4827	4499	5620	7093
Egfl6	18	15	15	13
Lck	160	105	104	130
Cttnbp2	9	13	17	23
Galnt1	2156	1690	1834	3190
Mkrn2	525	410	419	943
Pparg	105	89	166	183
Raf1	1405	1369	1531	2241
Septin1	495	447	565	707
Gm4532	495	447	565	707
Pdgfb	98	57	60	86
Acvrl1	1024	980	1942	3233
Tamalin	1090	1680	2317	3812
Acvr1b	48	35	73	95
Tom1l2	170	185	141	241
Zfp385a	791	773	1009	1454
Itga5	160	108	130	196
Gabra2	23	34	24	32
Wdr77	1970	1706	2125	2974
Adora3	454	334	210	341
Tmigd3	454	334	210	341
Atp5pb	18693	17195	19756	22847
Sox9	10	14	12	9
Hnrnpd	3892	3651	4193	5547
Dynlt1c	3641	3266	4376	3855
C1d	3607	3024	3798	3913
Gm2a	106502	114289	125061	148290
Krit1	1753	1405	1729	2453
Clcn4	1294	1196	1526	2062
Vmn2r88	23	28	26	30
Grm6	11	12	0	0
Sema4f	408	369	412	836
Hk2	730	583	702	596
Myo18a	800	732	780	1212
Sez6	6	12	13	7
Haao	2351	1958	2178	3095
Cd52	83972	68082	87548	65977
Abhd15	135	161	85	113
Loxl3	499	170	327	511
Btn1a1	4	9	2	2
Kat2b	357	381	480	731
Rab5b	774	694	757	1203
Cryba1	3	8	3	4
Dnmt3l	7	3	2	11
Aire	269	64	59	116
Icosl	4008	2298	2122	3147
Spg7	661	678	698	986
Sult5a1	17	11	39	36
Rpl13	44881	38186	52733	49610
Chmp1a	2754	2410	2919	3970
Rpa1	1169	954	1164	1642
Serpinf1	1774	1703	2489	2921
Tubgcp3	411	332	378	593
Oprm1	19	31	30	25
Polr3d	354	311	444	721
Tcf7	560	288	393	516
Ddx3x	3834	3596	3924	5868
Il12rb1	4	3	6	11
Slc5a5	3	5	0	17
Usp32	423	331	485	925
Txnrd3	38	36	58	55
Fasl	22	25	66	53
Zfp512b	167	180	165	295
Dnajc5	2078	1702	1958	2644
Tpd52l2	2133	1953	2294	3017
Fmr1	831	761	676	1073
Bcl11a	2042	1979	2258	2752
Il4	0	4	10	0
Pxmp4	1314	1038	894	1313
Dlg3	19	19	27	65
Gnb1l	136	79	126	174
Mmp11	11	13	15	13
Smarcb1	2012	1810	2000	2850
Vpreb3	76	51	48	25
Hip1r	260	224	203	376
Nsun5	390	287	406	539
Top1mt	76	78	114	119
Hoxa4	3	0	2	1
Mmp14	15	4	17	26
Slc7a7	248	246	545	925
Oxa1l	1071	1039	1256	1842
Heatr6	892	795	844	1021
Ccl3	773	942	854	527
Wfdc18	203	73	10	50
Icam4	40	23	31	52
Ilf2	1532	1393	1659	2211
Chtop	1783	1569	1641	2950
Snapin	1746	1523	1940	2355
