"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Igkv5-48",601.228399648161,-8.13830308206697,0.539125609128855,-15.0953747035264,1.73698344985636e-51,2.2745798275869e-47,"Yes","Down"
"Hdac1",1257.77536427091,-3.4265195370164,0.235217916818032,-14.5674257444734,4.526281440344e-48,2.96358277306523e-44,"Yes","Down"
"Igkv1-135",587.643315086761,4.43165096463278,0.334812764092758,13.2362067397317,5.42188379630964e-40,2.36665227708916e-36,"Yes","Up"
"Hmox1",2935.68488399656,2.11595725009633,0.199396482381215,10.6118083169138,2.62616514045201e-26,6.87792650284382e-23,"Yes","Up"
"Ccr2",5972.35775213979,2.12544212841729,0.200069673709777,10.6235097454124,2.31682924737128e-26,6.87792650284382e-23,"Yes","Up"
"Spic",1334.53642376194,2.10249484101737,0.215030914740946,9.77763985029923,1.40447338105841e-22,3.06526315415998e-19,"Yes","Up"
"Ctla2b",698.323715588275,-2.34233256749689,0.244595885103288,-9.57633676669485,1.00548051671266e-21,1.88096676662175e-18,"Yes","Down"
"Igkv10-96",185.446956629878,-6.37353963202598,0.677679433800232,-9.40494769965941,5.20560883441896e-21,8.52093096083953e-18,"Yes","Down"
"Tpm2",833.118724549035,2.04306808143202,0.230979935533014,8.84521885728905,9.13490941849188e-19,1.32912932039057e-15,"Yes","Up"
"Cd300c2",1579.14008999931,-1.77127335822057,0.205044472347309,-8.63848382715895,5.69639204422841e-18,7.45942538191711e-15,"Yes","Down"
"Il13ra1",2180.74325635281,1.55633134301241,0.185824098966963,8.37529336433971,5.50864768634124e-17,6.55779467751259e-14,"Yes","Up"
"Itm2a",1121.85533037637,1.68255049608196,0.202331558156905,8.31580852442783,9.11288477086715e-17,9.94443550620878e-14,"Yes","Up"
"Cd8b1",1079.42246554484,1.65818734924328,0.20051692183606,8.26956315736279,1.34450736543113e-16,1.35433261156312e-13,"Yes","Up"
"Jdp2",2228.39466580521,1.50876927967992,0.185738160205043,8.12309801073903,4.54432049196422e-16,4.25056263159082e-13,"Yes","Up"
"Klra17",435.873417693589,-2.28714611819867,0.283787468537661,-8.05936262789965,7.66932740710696e-16,6.69532282640438e-13,"Yes","Down"
"Maged1",380.766855978852,2.54991878729898,0.319558510485736,7.97950517238001,1.46921089318941e-15,1.20245729039471e-12,"Yes","Up"
