"seqnames","start","end","gene","log2FoldChange_ATAC","FDR_ATAC","pvalue","peak_type","distanceToTSS","annotation"
"chr7",143293785,143294185,"Osbpl5",2.73188600982874,0.0238440435235374,2.13916991347318e-06,"Gain",0,"Promoter (<=1kb)"
"chr6",138299228,138299628,"Lmo3",2.70873895500819,0.259471052775055,0.00030771951646133,"Gain",98884,"Distal Intergenic"
"chr13",120508121,120508521,"Anxa2r1",2.58495217314129,0.188075360023817,0.000174332402494586,"Gain",5219,"5' UTR"
"chr8",3606118,3606518,"Rps23rg1",2.52209600181751,0.621096633911186,0.00530738481617509,"Gain",-11480,"Distal Intergenic"
"chrX",122012956,122013356,"Cldn34c1",2.3992005781947,0.0238440435235374,9.90428641297905e-07,"Gain",0,"Promoter (<=1kb)"
"chr9",115034514,115034914,"Stmn1-rs1",2.1786678918436,0.321890766911456,0.000536828373984907,"Gain",76224,"Intron (NM_148958/74486, intron 6 of 11)"
"chr12",59506871,59507271,"Fbxo33",2.17222047133002,0.567927310367975,0.00368691472547775,"Gain",-240602,"Distal Intergenic"
"chr5",65370640,65371040,"Wdr19",2.1708618914911,0.567927310367975,0.00369291616368774,"Gain",13601,"Intron (NM_001359880/213081, intron 5 of 25)"
"chr6",124499050,124499450,"C1ra",2.1667122857781,0.035496544996211,5.51844923046106e-06,"Gain",9470,"Exon (NM_023143/50909, exon 11 of 11)"
"chr7",97814279,97814679,"Capn5",2.16208114521259,0.068279934548007,1.59269207838242e-05,"Gain",-2730,"Promoter (2-3kb)"
"chr6",67789499,67789899,"4930515G16Rik",2.13819127500146,0.259471052775055,0.000322984129249621,"Gain",-246816,"Distal Intergenic"
"chr6",3436939,3437339,"Samd9l",2.12508733045686,0.484244888982219,0.00200579773636472,"Gain",-37368,"Distal Intergenic"
"chr3",55260885,55261285,"Gm9831",2.12405166152843,0.144368466506706,8.80737791794302e-05,"Gain",49355,"Intron (NM_001111053/13175, intron 3 of 6)"
"chr5",34111734,34112134,"Nelfa",2.11937838135443,0.145702214376969,9.15017853871008e-05,"Gain",-18119,"Distal Intergenic"
"chr7",125718916,125719316,"Gsg1l",2.11883012019785,0.0780988722966065,2.6625252523425e-05,"Gain",-37333,"Intron (NM_001311143/74204, intron 14 of 23)"
"chr3",131180276,131180676,"Sgms2",2.11247335272696,0.037900259704708,6.91291942261765e-06,"Gain",14127,"Intron (NM_001379587/74442, intron 1 of 5)"
"chr12",86659292,86659692,"Vash1",2.08947463396906,0.215129690660073,0.000235464564886681,"Gain",-65782,"Distal Intergenic"
"chr1",133697613,133698013,"Atp2b4",2.05450891555691,0.351302982396734,0.000649253699613573,"Gain",-16128,"Distal Intergenic"
"chr2",118481185,118481585,"Pak6",2.03794300666812,0.19539037179474,0.000199835842824593,"Gain",-12473,"Distal Intergenic"
"chr9",71712887,71713287,"Cgnl1",2.00732330278112,0.035496544996211,5.73223471194106e-06,"Gain",-34003,"Distal Intergenic"
"chr10",86192734,86193134,"Timp3",2.00619564500192,0.711662527718917,0.00944933378511445,"Gain",56458,"Intron (NM_013722/27204, intron 4 of 13)"
"chr17",89618523,89618923,"4933400B14Rik",2.00128855829208,0.404405649763908,0.00102334558712101,"Gain",-8732,"Distal Intergenic"
"chr3",54268300,54268700,"Postn",1.99859997493661,0.0921370432843066,3.6370755620734e-05,"Gain",0,"Promoter (<=1kb)"
"chr17",29988076,29988476,"Ccdc167",1.99720917828229,0.321890766911456,0.000529216347678936,"Gain",-52085,"Distal Intergenic"
"chr17",57271933,57272333,"Acer1",1.98875833849169,0.188075360023817,0.000178061989522036,"Gain",16793,"Intron (NM_175731/171168, intron 1 of 5)"
"chr5",93073032,93073432,"Shroom3",1.95484189607509,0.284787213485129,0.00042412507570634,"Gain",27180,"Intron (NM_015756/27428, intron 3 of 10)"
"chr13",120761476,120761876,"Tcstv4",1.94563126305212,0.0780988722966065,2.32116936663961e-05,"Gain",-52,"Promoter (<=1kb)"
"chr18",62957709,62958109,"2700046A07Rik",1.92131024703334,0.668112603771212,0.00725271164289068,"Gain",-68291,"Distal Intergenic"
"chr1",73975790,73976190,"6030407O03Rik",1.90303936653435,0.417983346131465,0.00116280744339711,"Gain",-72165,"Intron (NM_001289895/21961, intron 22 of 32)"
"chr3",131195874,131196274,"Sgms2",1.89415270413199,0.0238440435235374,6.62791958202424e-07,"Gain",0,"Promoter (<=1kb)"
"chr17",79296438,79296838,"Prkd3",1.89070995400665,0.371258062361716,0.000732763705946112,"Gain",19096,"Intron (NM_001171005/75292, intron 1 of 17)"
"chr13",64049495,64049895,"Ercc6l2",1.88988395276237,0.188075360023817,0.000173118947158082,"Gain",86441,"Distal Intergenic"
"chr14",55292634,55293034,"Gm10364",1.83928346757839,0.188075360023817,0.000181942314413094,"Gain",16715,"Distal Intergenic"
"chr14",30157261,30157661,"4831407H17Rik",1.81616562148715,0.384807159898807,0.000827711244206661,"Gain",-22332,"Intron (NM_028981/12289, intron 1 of 46)"
"chr7",66054524,66054924,"Lrrk1",1.81025555919279,0.188075360023817,0.000172024492509279,"Gain",-16435,"Intron (NM_053080/56847, intron 9 of 12)"
