"seqnames","start","end","width","strand","gene","log2FoldChange_ATAC","FDR_ATAC","pvalue","peak_type","distanceToTSS","annotation","Conc","Conc_WT","Conc_KO"
"chr7",45238581,45238981,401,"*","0610005C13Rik",0.40628042171296,0.664089779570498,0.0760831545711654,"Gain",-13981,"3' UTR",7.6485612086902,7.40259242748352,7.85863910915437
"chr11",120240878,120241278,401,"*","0610009L18Rik",0.155018953528132,0.915099422186566,0.506712121816445,"Gain",1374,"Promoter (1-2kb)",8.3194720296784,8.21355396930084,8.4181429543304
"chr11",70128467,70128867,401,"*","0610010K14Rik",0.387107998861485,0.696808032299184,0.096790828962072,"Gain",0,"Promoter (<=1kb)",8.24766575096658,8.01280978945412,8.44958832822638
"chr6",72324445,72324845,401,"*","0610030E20Rik",0.196987336942379,0.905363581028106,0.462570781653721,"Gain",145,"Promoter (<=1kb)",6.19486064366189,6.06617123670055,6.31300506855621
"chr3",137947408,137947808,401,"*","0610031O16Rik",-0.137688960787563,0.928640230130995,0.558386642844824,"Loss",-1984,"Promoter (1-2kb)",6.87819449864952,6.92168149905922,6.83335582544885
"chr8",78235613,78236013,401,"*","0610038B21Rik",0.532227951383053,0.810996738393947,0.231426153993676,"Gain",-7672,"Intron (NM_030113/78514, intron 1 of 22)",4.22840457689542,3.90622829918808,4.4916044142267
"chr11",88514569,88514969,401,"*","0610039H22Rik",0.0929129107687771,0.970123915249952,0.804163142333585,"Gain",4492,"Intron (NM_054043/76626, intron 5 of 13)",4.9084049707342,4.83523160472496,4.9780454566909
"chr2",163484663,163485063,401,"*","0610039K10Rik",0.350171008546947,0.736585690561086,0.130686082333011,"Gain",-1707,"Promoter (1-2kb)",7.05753166275968,6.84370624964102,7.24371793332131
"chr6",108642526,108642926,401,"*","0610040F04Rik",-0.434355224901688,0.718749634926073,0.112373889516752,"Loss",-4631,"3' UTR",6.12351579147472,6.30348591723911,5.91785192255041
"chr5",63969587,63969987,401,"*","0610040J01Rik",0.286647123643541,0.815162719565044,0.238971267511974,"Gain",0,"Promoter (<=1kb)",6.65531198341517,6.47726475703685,6.81378009296738
"chr4",101211611,101212011,401,"*","0610043K17Rik",-0.101718702807131,0.948444867994086,0.669885036962111,"Loss",631,"Promoter (<=1kb)",6.76853195262962,6.7944580709071,6.74213138692761
"chr10",66755866,66756266,401,"*","1110002J07Rik",-0.280178277221563,0.85747263771342,0.324990474346245,"Loss",0,"Promoter (<=1kb)",5.96556698130703,6.07655545547822,5.84532303430865
"chr12",3476615,3477015,401,"*","1110002L01Rik",0.0864506545474256,0.956734808071332,0.712531003455812,"Gain",0,"Promoter (<=1kb)",8.42192661301405,8.35232919631233,8.48832051220538
