"seqnames","start","end","gene","log2FoldChange_ATAC","FDR_ATAC","pvalue","peak_type","distanceToTSS","annotation"
"chr10",112309970,112310370,"Kcnc2",2.61437626090442,0.104535292219076,0.00036790055189458,"Gain",202792,"Distal Intergenic"
"chr16",86161097,86161497,"Gm32461",2.42517388063391,0.0693209103827111,0.000153038104559355,"Gain",441904,"Distal Intergenic"
"chr16",97266165,97266565,"Mx1",2.40378762269148,2.32197188431103e-05,3.58472826181961e-10,"Gain",-2059,"Promoter (2-3kb)"
"chr18",47501804,47502204,"Sema6a",2.33911278518619,0.000818832559615281,1.39055147987898e-07,"Gain",0,"Promoter (<=1kb)"
"chr11",118358351,118358751,"Engase",2.30775689020952,0.0708345449214395,0.000163589298599241,"Gain",-8907,"Distal Intergenic"
"chr10",50748687,50749087,"Sim1",2.30692853131881,0.0708345449214395,0.000164506818442187,"Gain",-22660,"Distal Intergenic"
"chr16",47961486,47961886,"6430553K19Rik",2.30036223723421,0.0261844598022932,2.91055223664605e-05,"Gain",16976,"Exon (NR_152166/619300, exon 3 of 6)"
"chr16",72882862,72883262,"Robo1",2.27394235917155,0.0315611789655314,3.8980058622943e-05,"Gain",422825,"Distal Intergenic"
"chr8",78990908,78991308,"Ttc29",2.19385296972316,0.0336954806257536,4.29558804984176e-05,"Gain",50937,"Intron (NM_183096/73301, intron 7 of 13)"
"chr7",111379117,111379517,"Galnt18",2.16879702462232,0.0116404573727985,7.54776931573685e-06,"Gain",0,"Promoter (<=1kb)"
"chr8",12329471,12329871,"Sox1ot",2.15149607978853,0.0290101900941743,3.44858220466765e-05,"Gain",-105900,"Distal Intergenic"
"chr1",168980458,168980858,"Mir6354",2.14118465542296,0.10019782821664,0.000324845523288577,"Gain",-133800,"Distal Intergenic"
"chr10",36398873,36399273,"Hs3st5",2.12763582229897,0.150866834792898,0.000809941538338828,"Gain",16070,"Intron (NM_001081208/319415, intron 1 of 3)"
"chr13",88913813,88914213,"Edil3",2.12603582576973,0.150866834792898,0.000815099997823883,"Gain",-55378,"Distal Intergenic"
"chr8",24158970,24159370,"Zmat4",2.08817213833298,0.0066131298694463,2.75657681284235e-06,"Gain",-307,"Promoter (<=1kb)"
"chr4",150510461,150510861,"Rere",2.08726322596163,0.030712254211362,3.74574379025164e-05,"Gain",144088,"Intron (NM_001085492/68703, intron 2 of 22)"
"chr13",120760846,120761246,"Tcstv4",2.06573331157353,0.0371123784236627,4.88753347437634e-05,"Gain",-682,"Promoter (<=1kb)"
"chr16",30340546,30340946,"Tmem44",2.06224979920956,0.0371123784236627,4.96058641433203e-05,"Gain",28450,"Intron (NM_001357413/224090, intron 10 of 11)"
"chrX",96420700,96421100,"Eda2r",2.04688319368641,0.201130258147125,0.00152135380244454,"Gain",0,"Promoter (<=1kb)"
"chr16",64704345,64704745,"Cggbp1",2.01199471682779,0.00986537594722208,5.02605067246625e-06,"Gain",31981,"Distal Intergenic"
"chr1",77491598,77491998,"Epha4",1.99206863293943,0.00126953774841744,2.63386585614393e-07,"Gain",0,"Promoter (<=1kb)"
"chr11",101987802,101988202,"Ppy",1.98116700011386,0.0432801591893025,6.97098601055865e-05,"Gain",3943,"Distal Intergenic"
"chr2",59070396,59070796,"Pkp4",1.97432845164109,0.0120778676082115,8.01785140879205e-06,"Gain",78183,"Intron (NM_001362990/227937, intron 2 of 21)"
"chr7",47787454,47787854,"Mrgprb5",1.96395735977709,0.00050369310519909,6.99854563064163e-08,"Gain",30879,"Distal Intergenic"
"chr11",89005980,89006380,"Gm525",1.96216621519982,0.25761733305432,0.00281583770961278,"Gain",41313,"Distal Intergenic"
"chr14",68279832,68280232,"Nefl",1.95926276462837,0.150866834792898,0.000808571281895987,"Gain",-41080,"Distal Intergenic"
"chr16",12917153,12917553,"Ercc4",1.95852412524032,0.086721613116628,0.000255587247792752,"Gain",-10047,"Distal Intergenic"
"chr4",86608384,86608784,"Plin2",1.95683108915392,0.0137875330174687,1.00042308923492e-05,"Gain",-20088,"Distal Intergenic"
"chr13",120761565,120761965,"Tcstv4",1.9435211461845,0.0103775984917249,6.32344784899288e-06,"Gain",0,"Promoter (<=1kb)"
"chr6",37408271,37408671,"Creb3l2",1.89830818266758,0.00593887279604841,2.3763481138076e-06,"Gain",10412,"Intron (NM_178661/208647, intron 1 of 11)"
"chr12",76696790,76697190,"Sptb",1.8938037825511,0.150866834792898,0.000795671805682268,"Gain",60131,"Intron (NM_013675/20741, intron 1 of 35)"
"chr1",136320264,136320664,"Ddx59",1.88726845374377,0.198208047840775,0.00146267710605938,"Gain",-22345,"Distal Intergenic"
"chr17",28569674,28570074,"Tead3",1.88508757214892,0.00166168125014643,4.24226481008645e-07,"Gain",0,"Promoter (<=1kb)"
"chr5",135686794,135687194,"Rhbdd2",1.88180638276959,0.252697924122245,0.00271343239454563,"Gain",25286,"Distal Intergenic"
"chr18",39054805,39055205,"Fgf1",1.87934835498703,0.078723794797288,0.000204180651587742,"Gain",-3053,"Intron (NM_001033789/545253, intron 3 of 4)"
"chr5",107073596,107073996,"Hfm1",1.87793116961614,0.00998962695935533,5.86046599647239e-06,"Gain",0,"Promoter (<=1kb)"
"chr2",84480907,84481307,"Ctnnd1",1.86690294399612,0.0175667497028314,1.57296366252543e-05,"Gain",0,"Promoter (<=1kb)"
"chr5",34089710,34090110,"Nelfa",1.86238123493759,0.000968789025274435,1.79477387582876e-07,"Gain",3505,"Intron (NM_011914/24116, intron 1 of 10)"
"chr17",67974973,67975373,"Lama1",1.86116714499994,0.069819795415488,0.000157373176439023,"Gain",-28887,"Distal Intergenic"
"chr4",136906140,136906540,"Gm13003",1.85052694331175,0.220403118863882,0.00195311992817903,"Gain",-13763,"Distal Intergenic"
"chr8",78641905,78642305,"Ednra",1.83971403349212,0.0649403892480809,0.000127326233280425,"Gain",-190824,"Distal Intergenic"
"chr8",4042534,4042934,"Cd209c",1.8396571134966,0.281954625935277,0.0036477286648001,"Gain",-45671,"Distal Intergenic"
"chr7",87936850,87937250,"Ctsc",1.83633145834589,0.150866834792898,0.000784670329138259,"Gain",9557,"Intron (NM_001311790/13032, intron 3 of 3)"
"chr7",89281884,89282284,"Me3",1.83377634760611,0.0792082279256828,0.000207566376243128,"Gain",0,"Promoter (<=1kb)"
"chr2",35981294,35981694,"Lhx6",1.833242663998,0.0409694340137174,6.18087788350966e-05,"Gain",12378,"Exon (NM_001083126/16874, exon 5 of 9)"
"chr5",41068536,41068936,"Rab28",1.8196694367663,0.0371546952789039,5.10508518822745e-05,"Gain",796098,"Distal Intergenic"
"chr1",10395908,10396308,"Arfgef1",1.80807143197947,0.0904170706093719,0.000269405851539333,"Gain",-93013,"Intron (NM_001289497/329093, intron 9 of 9)"
"chr18",51813904,51814304,"Prr16",1.80670397500679,0.0336954806257536,4.31766587201276e-05,"Gain",562934,"Distal Intergenic"
"chr17",74974968,74975368,"Ttc27",1.79135203534262,0.0792082279256828,0.00021264679775844,"Gain",-49377,"Intron (NM_007566/12211, intron 62 of 72)"
"chr17",59928937,59929337,"Nudt12",1.78160083935393,0.103187710139106,0.000350469265918476,"Gain",-608620,"Distal Intergenic"
"chr14",121485880,121486280,"B930095G15Rik",1.78056460645962,0.0708345449214395,0.000162374943861571,"Gain",0,"Promoter (<=1kb)"
"chr11",12241358,12241758,"Cobl",1.7700873312704,0.196046170650693,0.00137575352104669,"Gain",120382,"Intron (NM_001282994/12808, intron 9 of 14)"
"chr9",43641168,43641568,"Nectin1",1.76915572421816,0.135371140194883,0.000590790542182037,"Gain",-13683,"Distal Intergenic"
"chr10",61209883,61210283,"Pald1",1.75474554742666,0.0792082279256828,0.000212149032418268,"Gain",8835,"Intron (NM_013753/27355, intron 1 of 19)"
